Trip ID,Date and Time,Distance Driven (miles_driven),Load Type,Delivery Status,Fuel Efficiency (MPG),Diesel Fuel Used (gallons),Driver Name,Driver Experience (years),Hours Worked,Driver Profit ($),Delivery Cost ($),Fuel Cost ($),Profit Margin (%),Cost per Mile ($),Profit per Mile ($),Fuel Cost per Mile ($),Total Revenue ($),Load Time (hrs),Unload Time (hrs),Total Load/Unload Time (hrs),Customer Location,Order Quantity (gallons),Fuel Prices ($/gallon),Delivery Frequency (days)
TRIP-0034,2023-01-13 00:34:35.675675675,394,Ethanol,Late,7.68,280,Driver_5,10,6,1283,694,593.32,16.28,1.07,2.72,0.96,9391,1.59,2.63,5.16,CityA,5081,3.45,18
TRIP-0035,2023-01-13 09:19:16.756756756,98,Gasoline,Late,5.39,73,Driver_1,28,10,849,1162,807.74,7.92,4.73,0.76,0.95,3940,2.17,2.37,4.21,CityB,5587,4.95,16
TRIP-0036,2023-01-13 18:03:57.837837837,108,Diesel,Incomplete,5.99,237,Driver_8,20,11,238,979,183.43,16.33,1.31,2.36,1.39,4490,1.84,1.88,2.3,CityA,1960,3.78,16
TRIP-0037,2023-01-14 02:48:38.918918919,219,Diesel,Incomplete,5.96,95,Driver_6,6,12,1763,4718,485.91,26.33,3.75,2.51,1.08,8899,2.94,1.76,3.14,CityD,4387,4.82,2
TRIP-0038,2023-01-14 11:33:20.000000000,237,Ethanol,Late,5.28,68,Driver_9,12,14,1272,1923,700.65,19.53,4.14,1.18,1.13,1306,1.11,2.54,3.47,CityD,8984,3.45,10
TRIP-0039,2023-01-14 20:18:01.081081081,320,Gasoline,Late,6.44,117,Driver_2,2,8,1643,3208,527.51,6.97,4.18,1.68,0.98,4075,2.18,2.04,4.49,CityC,1337,3.38,7
TRIP-0040,2023-01-15 05:02:42.162162162,239,Gasoline,On-Time,7.06,267,Driver_9,7,7,836,3675,334.1,9.79,1.54,2.28,1.99,2656,2.72,2.41,2.26,CityE,9729,4.23,25
TRIP-0041,2023-01-15 13:47:23.243243243,495,Gasoline,On-Time,6.53,151,Driver_2,16,8,1236,4314,1132.82,16.86,2.79,1.6,1.87,8244,1.96,2.78,4.12,CityA,6346,4.56,27
TRIP-0042,2023-01-15 22:32:04.324324324,224,Diesel,Late,5.47,91,Driver_5,3,14,235,2514,1247.75,14.04,4.32,0.78,0.75,7611,1.01,2.83,5.61,CityE,8963,4.13,15
TRIP-0043,2023-01-16 07:16:45.405405405,495,Diesel,Incomplete,6.13,81,Driver_2,13,12,300,4289,497.6,13.97,2.21,2.26,0.4,7322,1.49,1.56,4.82,CityA,2869,3.46,28
TRIP-0044,2023-01-16 16:01:26.486486486,100,Gasoline,Late,5.01,216,Driver_3,3,14,1309,2943,1195.47,18.23,2.87,2.78,1.71,3692,1.65,1.38,5.19,CityB,9497,3.08,9
TRIP-0045,2023-01-17 00:46:07.567567567,413,Diesel,Incomplete,7.6,158,Driver_5,27,7,1739,1411,670.5,19.61,2.09,2.13,1.99,2764,2.93,1.52,4.73,CityB,3674,4.24,7
TRIP-0046,2023-01-17 09:30:48.648648648,104,Diesel,Late,5.25,287,Driver_8,18,10,1446,3713,834.03,24.92,2.85,2.43,0.73,1275,2.82,2.5,2.83,CityE,6485,3.26,27
TRIP-0047,2023-01-17 18:15:29.729729729,293,Gasoline,On-Time,6.79,85,Driver_9,11,9,1561,2864,1305.6,13.52,4.55,1.4,0.84,6271,2.9,1.74,2.44,CityD,1382,3.69,24
TRIP-0048,2023-01-18 03:00:10.810810810,369,Diesel,Incomplete,7.96,281,Driver_3,8,7,365,4129,1162.44,25.14,2.82,0.96,1.89,8331,2.65,1.35,5.32,CityC,9523,4.35,16
TRIP-0049,2023-01-18 11:44:51.891891892,180,Gasoline,On-Time,6.61,278,Driver_7,6,14,582,3972,1236.91,13.47,3.22,2.11,1.48,6025,1.7,1.2,4.78,CityA,3671,3.2,26
TRIP-0050,2023-01-18 20:29:32.972972973,356,Gasoline,Late,7.77,146,Driver_2,1,14,1599,1180,334.74,6.39,2.62,1.32,0.73,5050,2.81,1.65,4.3,CityA,2540,3.25,3
TRIP-0051,2023-01-19 05:14:14.054054054,184,Ethanol,Incomplete,5.71,213,Driver_4,28,11,1694,1109,244.12,18.85,2.84,2.65,1.25,9080,2.96,1.27,2.76,CityC,7232,3.12,17
TRIP-0052,2023-01-19 13:58:55.135135135,70,Gasoline,Incomplete,7.28,180,Driver_8,1,11,989,2656,1356.1,19.7,1.06,0.81,1.9,4460,1.7,1.31,4.41,CityE,6872,4.99,23
TRIP-0053,2023-01-19 22:43:36.216216216,378,Diesel,Incomplete,6.59,122,Driver_6,23,13,1865,4366,673.58,28.36,2.13,1.58,1.66,4835,1.52,2.37,2.13,CityE,6485,3.77,8
TRIP-0054,2023-01-20 07:28:17.297297297,216,Ethanol,On-Time,7.16,185,Driver_1,8,11,230,871,538.64,23.15,2.75,1.49,1.54,5278,2.09,1.04,2.48,CityA,8062,4.81,2
TRIP-0055,2023-01-20 16:12:58.378378378,323,Gasoline,Late,5.19,146,Driver_7,5,6,1598,1115,1128.34,27.94,3.54,2.85,1.53,2844,1.37,1.24,3.25,CityB,6400,3.59,25
TRIP-0056,2023-01-21 00:57:39.459459459,437,Ethanol,On-Time,5.44,172,Driver_1,28,9,210,2753,1279.16,27.71,2.8,0.88,0.52,1071,1.07,2.69,3.77,CityC,8465,4.51,20
TRIP-0057,2023-01-21 09:42:20.540540540,138,Diesel,Incomplete,5.4,119,Driver_7,16,12,1525,4638,1314.36,20.11,2.35,0.52,1.68,8386,2.89,2.69,2.48,CityA,5816,3.44,26
TRIP-0058,2023-01-21 18:27:01.621621621,365,Gasoline,On-Time,7.06,218,Driver_9,11,7,295,1364,576.6,18.19,2.55,1.1,0.7,7862,2.85,1.66,2.48,CityB,8965,4.0,27
TRIP-0059,2023-01-22 03:11:42.702702702,63,Diesel,Incomplete,7.53,280,Driver_6,5,14,1413,1768,1300.49,18.94,1.97,2.55,1.87,8340,1.33,1.18,4.9,CityE,1089,4.65,25
TRIP-0060,2023-01-22 11:56:23.783783783,291,Ethanol,On-Time,7.25,245,Driver_4,4,13,652,1284,205.26,29.46,4.7,1.02,0.86,8635,1.82,2.41,4.28,CityB,9274,4.63,29
TRIP-0061,2023-01-22 20:41:04.864864865,314,Gasoline,Late,5.09,62,Driver_7,30,13,391,4678,217.04,24.33,3.09,1.1,1.74,2043,2.66,1.72,4.13,CityD,5563,4.59,3
TRIP-0062,2023-01-23 05:25:45.945945946,395,Ethanol,On-Time,7.6,98,Driver_2,6,12,685,2737,991.75,7.66,1.05,0.82,0.68,4042,2.32,1.09,3.81,CityA,4133,4.65,8
TRIP-0063,2023-01-23 14:10:27.027027027,102,Ethanol,On-Time,6.06,109,Driver_6,14,9,1489,4554,235.19,24.46,1.08,2.29,1.13,1814,1.79,1.32,5.91,CityC,2490,3.42,27
TRIP-0064,2023-01-23 22:55:08.108108108,435,Gasoline,On-Time,6.19,179,Driver_4,22,7,1647,1435,588.22,9.26,4.89,0.67,0.39,6622,2.49,1.27,2.2,CityB,7015,3.96,2
TRIP-0065,2023-01-24 07:39:49.189189189,389,Ethanol,On-Time,5.31,237,Driver_1,19,8,1351,4480,1058.22,16.18,1.89,1.33,1.39,8332,2.79,2.18,2.72,CityE,1758,3.97,30
TRIP-0066,2023-01-24 16:24:30.270270270,141,Diesel,Late,7.21,54,Driver_6,9,11,437,2838,605.31,10.26,4.22,1.21,1.7,1309,2.85,2.8,4.59,CityB,3366,4.78,19
TRIP-0067,2023-01-25 01:09:11.351351351,416,Ethanol,Incomplete,5.55,221,Driver_2,12,10,1578,825,392.46,22.24,1.23,1.89,1.49,7661,1.76,2.59,2.55,CityE,4238,3.59,17
TRIP-0068,2023-01-25 09:53:52.432432432,493,Diesel,Incomplete,6.69,76,Driver_6,11,13,1335,2034,529.82,26.93,4.68,2.33,1.14,5227,1.35,2.09,4.36,CityD,1071,4.86,5
TRIP-0069,2023-01-25 18:38:33.513513513,477,Diesel,Incomplete,7.52,209,Driver_3,14,11,1669,3980,767.73,12.26,4.5,1.83,0.28,2877,2.83,1.84,4.27,CityE,9236,3.9,20
TRIP-0070,2023-01-26 03:23:14.594594594,313,Ethanol,Late,5.27,198,Driver_3,23,11,1566,4361,791.77,7.05,3.28,2.83,1.88,3486,1.19,2.24,5.88,CityC,4722,4.34,29
TRIP-0071,2023-01-26 12:07:55.675675675,480,Diesel,Late,6.61,57,Driver_1,16,6,1368,2485,1207.05,12.46,1.04,2.88,1.47,7886,2.44,1.89,5.53,CityD,1137,3.54,17
TRIP-0072,2023-01-26 20:52:36.756756756,84,Gasoline,On-Time,5.7,279,Driver_5,1,9,1288,3278,1162.71,21.81,2.03,1.4,1.54,5835,1.28,1.49,5.78,CityB,8732,3.82,10
TRIP-0073,2023-01-27 05:37:17.837837838,255,Diesel,Late,6.03,249,Driver_8,13,10,1470,1770,766.7,13.22,2.63,2.44,1.63,1794,1.78,2.36,2.45,CityA,5382,4.42,9
TRIP-0074,2023-01-27 14:21:58.918918919,130,Diesel,Incomplete,6.42,99,Driver_3,23,8,934,1140,1291.65,11.95,2.84,2.35,1.55,7786,1.82,2.75,5.47,CityE,4892,4.03,22
TRIP-0075,2023-01-27 23:06:40.000000000,469,Diesel,Late,6.07,116,Driver_8,21,14,1190,4578,304.22,9.61,2.19,2.73,0.99,5014,1.32,1.75,2.52,CityC,4172,4.86,6
TRIP-0076,2023-01-28 07:51:21.081081081,99,Gasoline,Incomplete,6.95,295,Driver_8,21,6,1713,1867,494.73,17.44,1.13,1.62,1.52,8392,2.85,2.68,4.53,CityA,9991,4.47,30
TRIP-0077,2023-01-28 16:36:02.162162162,409,Gasoline,Late,6.44,93,Driver_10,30,11,1024,4542,1267.77,11.9,3.36,1.83,1.33,6353,1.01,1.86,4.88,CityA,7757,4.13,11
TRIP-0078,2023-01-29 01:20:43.243243243,437,Gasoline,Late,6.75,174,Driver_1,13,11,1662,3075,660.29,23.28,3.1,1.54,1.74,4407,2.79,1.8,2.64,CityD,5211,4.77,2
TRIP-0079,2023-01-29 10:05:24.324324324,51,Ethanol,Incomplete,7.21,107,Driver_2,2,10,305,4103,1474.6,6.92,2.13,2.63,1.64,1974,2.77,1.06,4.53,CityB,6143,4.33,30
TRIP-0080,2023-01-29 18:50:05.405405405,439,Gasoline,Incomplete,6.67,52,Driver_1,4,10,380,2081,779.44,21.6,1.15,1.07,0.27,5237,1.63,2.39,2.21,CityA,659,4.29,23
TRIP-0081,2023-01-30 03:34:46.486486486,103,Diesel,Late,6.76,135,Driver_5,28,10,383,2486,1219.11,10.94,4.98,1.1,0.88,8248,2.41,2.62,3.17,CityC,6438,3.49,12
TRIP-0082,2023-01-30 12:19:27.567567567,155,Gasoline,Late,6.69,119,Driver_4,6,11,425,2740,693.11,17.23,2.93,1.43,0.26,5369,1.51,2.33,5.68,CityE,1080,3.79,12
TRIP-0083,2023-01-30 21:04:08.648648648,309,Gasoline,On-Time,6.14,179,Driver_3,26,13,976,4466,723.69,12.15,4.02,1.08,0.38,9050,2.52,1.3,2.69,CityE,8911,4.37,16
TRIP-0084,2023-01-31 05:48:49.729729730,359,Diesel,Incomplete,6.01,264,Driver_9,27,7,989,2605,666.89,23.07,2.81,1.9,1.28,1464,2.12,1.21,2.26,CityE,8086,4.78,25
TRIP-0085,2023-01-31 14:33:30.810810811,240,Ethanol,On-Time,7.7,221,Driver_10,23,11,1312,628,1120.75,28.63,1.17,0.84,1.77,6327,1.6,2.15,3.77,CityD,4974,3.63,22
TRIP-0086,2023-01-31 23:18:11.891891892,451,Gasoline,Late,6.82,51,Driver_9,27,6,887,4496,889.15,27.93,2.24,1.3,0.42,6415,1.8,1.8,5.4,CityC,7573,3.43,27
TRIP-0087,2023-02-01 08:02:52.972972973,267,Ethanol,Incomplete,5.73,151,Driver_7,5,9,729,1351,1424.1,19.59,2.28,2.78,1.01,9115,2.38,1.86,2.31,CityA,5559,4.19,24
TRIP-0088,2023-02-01 16:47:34.054054054,93,Ethanol,Late,6.49,258,Driver_2,25,8,1594,4603,488.7,16.57,4.35,1.52,1.84,1287,2.81,2.94,3.42,CityC,4828,3.13,12
TRIP-0089,2023-02-02 01:32:15.135135135,211,Ethanol,Incomplete,5.99,84,Driver_5,3,14,1171,2576,285.76,25.46,3.62,2.37,1.67,4195,1.26,2.45,5.6,CityD,1894,4.43,21
TRIP-0090,2023-02-02 10:16:56.216216216,251,Diesel,Late,7.8,147,Driver_4,1,8,1135,3494,680.9,22.08,2.1,0.78,1.14,2992,2.14,1.82,2.47,CityD,1421,4.41,18
TRIP-0091,2023-02-02 19:01:37.297297297,495,Ethanol,On-Time,5.02,264,Driver_5,4,11,1622,4244,982.56,9.59,4.87,1.12,1.59,8450,1.51,1.04,3.24,CityB,3273,3.71,13
TRIP-0092,2023-02-03 03:46:18.378378378,319,Ethanol,On-Time,5.68,79,Driver_2,25,6,305,3256,1312.08,25.52,2.29,2.52,1.14,3925,2.6,1.07,5.11,CityC,4962,4.79,15
TRIP-0093,2023-02-03 12:30:59.459459459,400,Diesel,On-Time,6.1,165,Driver_1,20,11,1494,2144,617.37,15.72,4.99,2.41,0.48,2120,1.14,2.37,4.17,CityE,5076,4.0,16
TRIP-0094,2023-02-03 21:15:40.540540540,353,Ethanol,Incomplete,6.46,57,Driver_4,2,9,1030,4871,1032.61,9.72,4.98,1.47,0.42,6310,2.38,2.68,5.33,CityD,3934,4.29,4
TRIP-0095,2023-02-04 06:00:21.621621621,320,Ethanol,Incomplete,7.55,199,Driver_7,26,13,1726,3644,622.77,12.04,1.76,2.89,0.54,1446,1.35,2.42,2.45,CityD,7233,3.42,12
TRIP-0096,2023-02-04 14:45:02.702702703,264,Diesel,Incomplete,5.26,93,Driver_10,30,14,878,742,983.25,11.69,2.25,2.78,0.83,7627,2.19,1.81,5.68,CityB,9810,3.83,17
TRIP-0097,2023-02-04 23:29:43.783783784,301,Diesel,On-Time,7.42,235,Driver_8,30,9,1748,4585,1344.49,17.98,2.94,2.91,1.87,3896,2.67,1.06,5.74,CityE,2365,4.72,1
TRIP-0098,2023-02-05 08:14:24.864864865,239,Gasoline,Incomplete,5.17,85,Driver_2,5,11,1048,670,462.33,10.86,3.66,1.57,1.64,1721,2.51,2.93,2.62,CityD,1224,3.43,22
TRIP-0099,2023-02-05 16:59:05.945945946,345,Gasoline,Late,7.53,246,Driver_2,3,6,1255,1152,695.73,8.09,3.11,0.99,0.98,3163,2.51,2.97,2.14,CityA,1211,3.78,18
TRIP-0100,2023-02-06 01:43:47.027027027,262,Gasoline,Incomplete,5.15,126,Driver_8,29,9,592,4012,1490.91,8.09,4.88,2.07,1.09,4980,2.04,2.1,5.96,CityE,8210,3.64,22
TRIP-0101,2023-02-06 10:28:28.108108108,257,Ethanol,On-Time,5.05,270,Driver_10,28,12,239,1999,1322.55,19.58,3.9,2.21,0.68,5502,2.78,1.14,3.93,CityC,5580,3.3,16
TRIP-0102,2023-02-06 19:13:09.189189189,286,Ethanol,On-Time,7.09,80,Driver_9,29,6,859,2599,912.26,23.37,1.85,0.81,1.47,2725,2.18,2.08,4.29,CityB,890,3.58,1
TRIP-0103,2023-02-07 03:57:50.270270270,387,Ethanol,Late,7.99,96,Driver_1,9,13,1441,2658,847.45,13.04,1.42,2.47,1.64,9885,2.84,2.78,4.46,CityA,9762,3.47,27
TRIP-0104,2023-02-07 12:42:31.351351351,416,Diesel,Incomplete,7.69,298,Driver_9,20,11,1954,2472,534.21,5.87,3.75,0.55,0.63,4413,2.09,2.36,5.16,CityA,4987,4.85,10
TRIP-0105,2023-02-07 21:27:12.432432432,102,Ethanol,Incomplete,6.73,104,Driver_10,6,10,1180,4425,848.23,8.18,1.63,1.71,0.28,1494,2.01,2.44,5.25,CityC,8616,4.48,19
TRIP-0106,2023-02-08 06:11:53.513513513,329,Gasoline,Late,7.75,257,Driver_4,18,14,1305,2758,1295.05,27.87,4.15,1.33,1.32,1947,1.44,1.17,2.78,CityB,7247,3.63,16
TRIP-0107,2023-02-08 14:56:34.594594594,459,Diesel,Late,5.02,155,Driver_3,6,7,1044,4539,1074.99,17.34,2.24,2.35,1.21,1022,2.09,1.21,2.95,CityD,6566,4.53,14
TRIP-0108,2023-02-08 23:41:15.675675676,266,Diesel,On-Time,7.93,239,Driver_5,19,10,1943,2535,541.56,16.34,2.31,1.28,0.92,2128,1.28,1.25,5.51,CityB,4994,3.04,25
TRIP-0109,2023-02-09 08:25:56.756756757,301,Diesel,Incomplete,6.47,207,Driver_7,28,11,400,3771,421.98,5.95,1.04,2.57,1.36,1557,2.74,2.81,5.28,CityD,4072,4.05,2
TRIP-0110,2023-02-09 17:10:37.837837838,237,Gasoline,Late,7.17,170,Driver_1,12,12,646,1357,508.03,23.22,3.8,1.99,1.19,4730,2.35,2.05,4.47,CityC,8269,3.5,24
TRIP-0111,2023-02-10 01:55:18.918918919,429,Gasoline,Incomplete,7.46,104,Driver_10,25,10,1651,4323,379.17,18.2,1.45,2.48,0.65,6341,2.99,2.58,5.98,CityC,2811,3.23,6
TRIP-0112,2023-02-10 10:40:00.000000000,90,Gasoline,Late,7.16,193,Driver_6,11,14,1261,1549,279.11,10.05,4.09,2.97,0.92,7998,1.18,1.23,4.94,CityA,7273,4.77,28
TRIP-0113,2023-02-10 19:24:41.081081081,206,Diesel,On-Time,6.61,61,Driver_4,2,6,1434,4490,715.83,7.75,2.97,2.2,0.97,8182,1.48,2.86,2.86,CityA,7405,3.4,22
TRIP-0114,2023-02-11 04:09:22.162162162,64,Diesel,Late,6.43,194,Driver_10,15,12,643,798,302.95,14.58,4.14,2.96,1.78,8034,2.75,2.64,5.39,CityA,4142,4.64,23
TRIP-0115,2023-02-11 12:54:03.243243243,350,Ethanol,Late,7.52,193,Driver_7,12,12,1550,1423,382.08,25.93,3.34,0.57,1.93,2656,1.79,1.45,3.66,CityC,6838,3.83,5
TRIP-0116,2023-02-11 21:38:44.324324324,114,Ethanol,Late,5.62,189,Driver_3,12,9,960,4732,888.89,26.63,1.33,1.35,1.81,5173,1.93,2.75,2.14,CityD,3109,3.03,12
TRIP-0117,2023-02-12 06:23:25.405405405,394,Gasoline,Late,7.9,185,Driver_2,9,14,426,4806,372.21,20.07,4.06,0.77,1.49,6441,2.72,1.53,3.29,CityC,6740,4.47,27
TRIP-0118,2023-02-12 15:08:06.486486486,376,Diesel,Late,7.13,261,Driver_9,21,10,247,3299,236.24,23.19,1.28,1.16,1.25,9998,2.04,1.41,5.05,CityC,8306,4.19,4
TRIP-0119,2023-02-12 23:52:47.567567567,58,Ethanol,Incomplete,5.6,52,Driver_6,24,9,1241,4562,578.47,7.88,2.91,2.6,1.44,4312,1.39,1.53,5.84,CityA,1257,3.69,22
TRIP-0120,2023-02-13 08:37:28.648648649,393,Gasoline,On-Time,7.21,193,Driver_2,2,12,1111,4545,447.43,19.7,1.69,0.58,1.89,9645,2.78,2.82,3.1,CityB,5586,3.56,24
TRIP-0121,2023-02-13 17:22:09.729729730,178,Gasoline,On-Time,6.59,79,Driver_9,22,9,1662,2302,845.66,21.67,4.01,1.8,0.65,3324,1.06,2.83,2.99,CityA,6720,3.15,4
TRIP-0122,2023-02-14 02:06:50.810810811,185,Ethanol,Late,7.12,286,Driver_9,3,8,1931,3213,288.2,10.02,4.65,1.92,1.16,6595,2.79,1.66,4.25,CityB,6102,4.88,5
TRIP-0123,2023-02-14 10:51:31.891891892,112,Gasoline,Late,7.3,72,Driver_9,12,14,386,3353,1164.89,27.0,3.22,1.9,1.44,6984,1.1,2.41,5.25,CityD,9826,3.99,7
TRIP-0124,2023-02-14 19:36:12.972972973,188,Diesel,Incomplete,5.26,141,Driver_9,28,13,544,3157,1373.42,9.87,3.11,1.69,1.42,3511,2.33,2.35,4.99,CityD,6621,3.17,6
TRIP-0125,2023-02-15 04:20:54.054054054,130,Gasoline,Late,6.52,164,Driver_9,30,6,423,3846,1153.64,12.84,4.06,2.48,0.65,1362,1.14,2.61,4.24,CityE,9456,4.74,13
TRIP-0126,2023-02-15 13:05:35.135135135,441,Diesel,Late,7.8,153,Driver_1,26,12,1029,1971,869.32,20.51,1.02,0.83,1.26,4454,2.41,1.59,4.53,CityE,3225,3.56,4
